2026-07-13 11:28:35.535 [http-nio-8080-exec-1] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/, request={}, response=403 Forbidden
2026-07-13 11:28:35.542 [http-nio-8080-exec-1] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:28:41.549 [http-nio-8080-exec-2] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/trainees, request={}, response=403 Forbidden
2026-07-13 11:28:41.551 [http-nio-8080-exec-2] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:31:43.951 [http-nio-8080-exec-4] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=403 Forbidden
2026-07-13 11:31:43.952 [http-nio-8080-exec-4] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:36:34.599 [http-nio-8080-exec-9] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=403 Forbidden
2026-07-13 11:36:34.600 [http-nio-8080-exec-9] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:38:26.646 [http-nio-8080-exec-1] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:38:26.653 [http-nio-8080-exec-1] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:38:27.261 [http-nio-8080-exec-2] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:38:27.261 [http-nio-8080-exec-2] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:38:27.790 [http-nio-8080-exec-3] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:38:27.791 [http-nio-8080-exec-3] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:38:27.951 [http-nio-8080-exec-4] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:38:27.952 [http-nio-8080-exec-4] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:38:28.126 [http-nio-8080-exec-5] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:38:28.127 [http-nio-8080-exec-5] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:38:28.279 [http-nio-8080-exec-6] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:38:28.280 [http-nio-8080-exec-6] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:38:28.438 [http-nio-8080-exec-7] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:38:28.439 [http-nio-8080-exec-7] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:38:28.589 [http-nio-8080-exec-8] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:38:28.590 [http-nio-8080-exec-8] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:38:28.732 [http-nio-8080-exec-9] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:38:28.733 [http-nio-8080-exec-9] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:38:28.901 [http-nio-8080-exec-10] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:38:28.902 [http-nio-8080-exec-10] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:38:29.078 [http-nio-8080-exec-1] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:38:29.079 [http-nio-8080-exec-1] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:39:43.761 [http-nio-8080-exec-1] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
